Region,Hostname,Port,Type,Password
Europe (France),aura.woop.ac,28763,AssaultCube,
Europe (France),aura.woop.ac,1999,AssaultCube,
Europe (France),aura.woop.ac,2999,AssaultCube,
Europe (France),aura.woop.ac,3999,AssaultCube,
Europe (France),aura.woop.ac,4999,AssaultCube,
America (Los Angeles),califa.actionfps.com,1999,AssaultCube,
America (Los Angeles),califa.actionfps.com,28763,AssaultCube,
Europe (France),aura.woop.ac,10000,AssaultCube,
Europe (France),aura.woop.ac,7654,ActionFPS,
Europe (France),aura.woop.ac,30000,ActionFPS,
America (Los Angeles),califa.actionfps.com,7654,ActionFPS,
America (Los Angeles),califa.actionfps.com,30000,ActionFPS,
